PERMNO,date,BIDLO,ASKHI,PRC,VOL,BID,ASK,NUMTRD,Ticker
12490,8/27/2019,130.31,131.69611,131.17,4728392,131.14999,131.16,,
12490,8/28/2019,130.03999,132.89,132.75999,2720362,132.71001,132.73,,
12490,8/29/2019,134.03999,135.69,134.88,2972842,134.92999,134.95,,
12490,8/30/2019,134.3627,136.07001,135.53,2960594,135.45,135.47,,
12490,9/3/2019,133.33009,134.90131,134.10001,2828242,134.16,134.19,,
12490,9/4/2019,135.14999,136.42999,136.32001,2262081,136.28999,136.32001,,
12490,9/5/2019,138.05,141.69501,140.97,5012914,140.99001,141.00999,,
12490,9/6/2019,140.46001,141.52499,140.57001,2577200,140.55,140.58,,
12490,9/9/2019,140.46001,143.02,142.60001,4226944,142.62,142.63,,
12490,9/10/2019,142.96001,145.46001,145.05,4979741,144.99001,145.02,,
12490,9/11/2019,142.70509,145.12,143.60001,3869731,143.55,143.60001,,
12490,9/12/2019,141.88,144.03999,143.62,2505432,143.63,143.66,,
12490,9/13/2019,143.25999,144.64999,143.67,2206612,143.62,143.64999,,
12490,9/16/2019,142.27,143.64,142.48,1928500,142.39999,142.42999,,
12490,9/17/2019,140.66,142.48,142.2,2940494,142.17999,142.19,,
12490,9/18/2019,140.50999,142.3,142.22,1995159,142.17,142.22,,
12490,9/19/2019,142.45,145.03,142.97,3182092,142.91,142.96001,,
12490,9/20/2019,141.82001,143.83,141.88,5217881,141.82001,141.85001,,
12490,9/23/2019,140.558,142.22,142.07001,1850061,142.02,142.06,,
12490,9/24/2019,141.07001,142.89,141.67999,3311171,141.75,141.78,,
12490,9/25/2019,140.8588,143.63,143.16,2546205,143.17,143.2,,
12490,9/26/2019,141.41,143.88,143.55,2314542,143.59,143.64,,
12490,9/27/2019,142.38,145.09,143.24001,2357082,143.28999,143.34,,
12490,9/30/2019,143.73,146.57001,145.42,4004429,145.41,145.44,,
12490,10/1/2019,143.53999,147.35001,143.66,2973714,143.61,143.64,,
12490,10/2/2019,140.57001,142.2659,141.69,3347276,141.75999,141.78,,
12490,10/3/2019,139.17999,142.07001,142.02,3161718,141.97,141.98,,
12490,10/4/2019,141.03,143.06,142.99001,2449483,142.95,142.98,,
12490,10/7/2019,141.22,142.7,141.28,2488799,141.22,141.25999,,
12490,10/8/2019,138.25,140.4749,138.38,3344083,138.35001,138.39,,
12490,10/9/2019,138.78999,140.33,139.67,2633472,139.61,139.63,,
12490,10/10/2019,139.56,141.78,141.13,2646693,141.10001,141.13,,
12490,10/11/2019,142.61,144.5,142.75999,3018669,142.64999,142.67999,,
12490,10/14/2019,141.32001,142.42999,142.03999,2325609,141.96001,141.99001,,
12490,10/15/2019,141.81,143.72,143,3046999,142.92999,142.96001,,
12490,10/16/2019,141.3905,142.95,142.11,5915705,142.03,142.12,,
12490,10/17/2019,132.91,136,134.25999,15830810,134.25,134.25999,,
12490,10/18/2019,132.25,134.49001,134.09,7178379,134.05,134.08,,
12490,10/21/2019,130.89999,133.10001,132.58,6372983,132.55,132.57001,,
12490,10/22/2019,131.61,134.05,133.96001,4195803,133.94,133.95,,
12490,10/23/2019,132.7,134.565,134.38,3627345,134.39,134.41,,
12490,10/24/2019,133.3,135.07001,134.07001,2619309,134.03,134.06,,
12490,10/25/2019,134.10001,135.92999,135.44,2579055,135.41,135.42999,,
12490,10/28/2019,135.44501,136.63,135.97,3226132,135.92,135.95,,
12490,10/29/2019,133.44,135.57001,133.82001,4160718,133.81,133.82001,,
12490,10/30/2019,133.2,135.28,135.25,2252989,135.22,135.25,,
12490,10/31/2019,133.23,135.25,133.73,3412119,133.73,133.77,,
12490,11/1/2019,134.09,135.56,135.53,3089789,135.5,135.53,,
12490,11/4/2019,136.23,137.74001,137.67,3335389,137.67999,137.7,,
12490,11/5/2019,137.63,138.75999,137.89,3014961,137.89,137.91,,
12490,11/6/2019,137.55,138.78,138.78,4477291,138.7,138.72,,
12490,11/7/2019,137.58,139.13499,137.69,4073908,137.71001,137.73,,
12490,11/8/2019,136.16,137.61,137.61,2278602,137.53999,137.57001,,
12490,11/11/2019,135,137.2,135.47,2568755,135.44,135.45,,
12490,11/12/2019,135.02,136.66,135.59,3046536,135.60001,135.61,,
12490,11/13/2019,133.845,135.58,134.48,3060924,134.46001,134.47,,
12490,11/14/2019,133.33,134.33,134,4231471,133.99001,134,,
12490,11/15/2019,134.03,135.12,134.39999,3262656,134.36,134.37,,
12490,11/18/2019,133.23,134.48,134.31,3210872,134.21001,134.24001,,
